,age,gender,country,mental_health,family_history,treatment,self_employed,work_interfere,no_employees,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,coworkers,obs_neg_response,obs_pos_response,mental_vs_physical,mental_health_interview,physical_importance,mental_importance,supervisor,neg_consequence_coworker,age_range
0,45.0,male,United States of America,Don't Know,Yes,no,yes,Not applicable to me,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,Maybe/Not sure,"Yes, I experienced",Physical health,Maybe,7.0,5.0,Yes,No,43-100
1,24.0,female,Russia,Yes,Yes,yes,yes,Never,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,"Yes, I observed","Yes, I observed",Physical health,Yes,7.0,5.0,Yes,Yes,22-25
2,46.0,male,India,Yes,Yes,no,yes,Often,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,"Yes, I experienced","Yes, I experienced",Physical health,No,7.0,5.0,Yes,No,43-100
3,25.0,female,Canada,Yes,Yes,no,yes,Often,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,No,Maybe/Not sure,Physical health,No,7.0,5.0,Yes,Yes,22-25
4,25.0,female,Canada,Don't Know,I don't know,no,yes,Rarely,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,"Yes, I observed",Maybe/Not sure,Physical health,No,7.0,5.0,Yes,Yes,22-25
7,35.0,male,United States of America,Possibly,Yes,yes,yes,Sometimes,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,"Yes, I observed",Maybe/Not sure,Physical health,No,7.0,5.0,Yes,Yes,26-42
8,34.0,female,Ireland,No,No,no,yes,Often,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,Maybe/Not sure,No,Physical health,No,7.0,5.0,Yes,Maybe,26-42
9,23.0,female,Turkey,No,No,no,yes,Rarely,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,No,No,Physical health,No,7.0,5.0,Yes,No,22-25
10,42.0,female,United States of America,Yes,Yes,yes,yes,Rarely,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,Maybe/Not sure,No,Physical health,No,7.0,5.0,Yes,No,26-42
11,54.0,male,United States of America,Yes,Yes,yes,yes,Sometimes,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,Maybe/Not sure,No,Physical health,No,7.0,5.0,Yes,Yes,43-100
12,40.0,female,Canada,No,Yes,no,yes,Not applicable to me,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,No,"Yes, I observed",Physical health,No,7.0,5.0,Yes,No,26-42
13,36.0,female,United States of America,Yes,Yes,yes,yes,Sometimes,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,"Yes, I experienced",No,Physical health,No,7.0,5.0,Yes,Maybe,26-42
14,30.0,male,Australia,Yes,I don't know,yes,yes,Rarely,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,"Yes, I experienced","Yes, I experienced",Physical health,Maybe,7.0,5.0,Yes,Maybe,26-42
15,22.0,male,Mongolia,Yes,Yes,no,yes,Never,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,"Yes, I experienced","Yes, I observed",Physical health,Maybe,7.0,5.0,Yes,Maybe,22-25
16,21.0,female,United States of America,Yes,Yes,yes,yes,Sometimes,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,No,No,Physical health,No,7.0,5.0,Yes,No,18-21
17,46.0,male,United States of America,Yes,Yes,yes,yes,Never,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,No,No,Physical health,No,7.0,5.0,Yes,No,43-100
18,63.0,male,United Kingdom,No,No,yes,yes,Not applicable to me,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,"Yes, I observed",Maybe/Not sure,Physical health,No,7.0,5.0,Yes,Yes,43-100
19,20.0,male,Cameroon,Yes,No,no,yes,Sometimes,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,"Yes, I observed",No,Physical health,Yes,7.0,5.0,Yes,No,18-21
20,24.0,male,Pakistan,No,No,yes,yes,Rarely,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,No,No,Physical health,Maybe,7.0,5.0,Yes,Maybe,22-25
21,44.0,male,Brazil,Don't Know,I don't know,no,yes,Sometimes,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,I've always been self-employed,I've always been self-employed,Physical health,No,7.0,5.0,Yes,Yes,43-100
22,35.0,male,India,Possibly,I don't know,yes,yes,Often,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,"Yes, I observed","Yes, I observed",Physical health,No,7.0,5.0,Yes,Maybe,26-42
23,30.0,female,Australia,No,No,no,yes,Not applicable to me,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,Maybe/Not sure,"Yes, I observed",Physical health,Maybe,7.0,5.0,Yes,No,26-42
24,23.0,female,Russia,Possibly,I don't know,yes,yes,Rarely,More than 1000,yes,yes,No,no,No,I don't know,Somewhat easy,Maybe,Maybe/Not sure,"Yes, I experienced",Physical health,No,7.0,5.0,Yes,No,22-25
25,26.0,male,United States of America,Possibly,Yes,no,no,Sometimes,More than 1000,no,yes,No,yes,Yes,I don't know,Very easy,Maybe,"Yes, I observed","Yes, I observed",Physical health,No,4.0,4.0,Yes,Maybe,26-42
26,32.0,male,India,Don't Know,No,no,no,Never,500-1000,yes,no,No,I don't know,Yes,I don't know,Somewhat easy,Yes,No,Maybe/Not sure,Mental health,No,8.0,8.0,Maybe,No,26-42
27,34.0,male,United States of America,Possibly,I don't know,no,no,Rarely,6-25,yes,I don't know,No,no,No,I don't know,Very easy,No,Maybe/Not sure,No,Physical health,No,4.0,2.0,No,Yes,26-42
28,44.0,female,United States of America,Yes,Yes,yes,no,Sometimes,26-100,yes,yes,Yes,I don't know,I don't know,I don't know,Somewhat easy,Maybe,No,"Yes, I observed",Physical health,No,8.0,8.0,Yes,No,43-100
29,33.0,male,India,Possibly,No,yes,no,Often,500-1000,yes,no,No,no,Yes,Yes,Difficult,No,No,"Yes, I experienced",Physical health,No,8.0,6.0,No,Yes,26-42
30,38.0,male,Philippines,Yes,I don't know,yes,no,Sometimes,More than 1000,yes,yes,No,yes,Yes,Yes,Neither easy nor difficult,Maybe,"Yes, I experienced","Yes, I experienced",Physical health,Maybe,8.0,8.0,Maybe,Yes,26-42
31,45.0,male,United States of America,Yes,No,no,no,Rarely,More than 1000,no,I don't know,No,no,No,Yes,Somewhat difficult,No,Maybe/Not sure,Maybe/Not sure,Mental health,No,10.0,0.0,Yes,Yes,43-100
32,27.0,female,India,No,No,no,no,Not applicable to me,More than 1000,yes,yes,Yes,yes,Yes,Yes,Very easy,Maybe,No,No,Physical health,Maybe,9.0,9.0,Maybe,No,26-42
33,21.0,male,Sri Lanka,Don't Know,I don't know,no,no,Not applicable to me,26-100,yes,I don't know,No,I don't know,No,Yes,Somewhat easy,No,No,No,Same level of comfort for each,Maybe,5.0,5.0,Maybe,No,18-21
34,30.0,female,United States of America,Possibly,No,no,no,Not applicable to me,More than 1000,yes,I don't know,No,no,No,I don't know,Neither easy nor difficult,No,Maybe/Not sure,Maybe/Not sure,Physical health,No,8.0,4.0,No,No,26-42
35,44.0,male,India,No,No,no,no,Often,More than 1000,no,I don't know,No,no,No,Yes,Somewhat difficult,Maybe,No,No,Same level of comfort for each,No,10.0,9.0,Yes,No,43-100
36,32.0,male,Brazil,Possibly,No,no,no,Often,More than 1000,no,yes,Yes,yes,Yes,I don't know,Somewhat easy,Maybe,Maybe/Not sure,No,Physical health,No,6.0,5.0,No,Yes,26-42
37,39.0,male,India,No,No,no,no,Rarely,More than 1000,yes,yes,No,yes,Yes,Yes,Difficult,No,"Yes, I experienced","Yes, I observed",Physical health,No,8.0,8.0,No,Yes,26-42
38,27.0,female,Poland,Yes,I don't know,yes,no,Often,100-500,no,no,Yes,no,No,I don't know,I don't know,No,Maybe/Not sure,No,Physical health,No,5.0,4.0,No,Maybe,26-42
39,34.0,male,United States of America,Yes,I don't know,yes,no,Sometimes,More than 1000,yes,yes,Yes,yes,Yes,I don't know,Somewhat easy,Maybe,"Yes, I experienced","Yes, I experienced",Physical health,Maybe,8.0,7.0,Yes,Yes,26-42
40,30.0,male,Taiwan,No,No,no,no,Not applicable to me,26-100,yes,no,No,no,No,I don't know,I don't know,Maybe,No,No,Same level of comfort for each,No,8.0,3.0,No,Maybe,26-42
41,24.0,male,Australia,Possibly,I don't know,yes,no,Sometimes,26-100,yes,no,No,no,No,I don't know,Difficult,Yes,"Yes, I observed",No,Physical health,No,5.0,3.0,No,Yes,22-25
42,50.0,male,India,No,No,no,no,Not applicable to me,More than 1000,yes,no,No,no,I don't know,I don't know,Difficult,No,No,Maybe/Not sure,Mental health,No,8.0,5.0,No,No,43-100
43,27.0,male,United States of America,No,No,no,no,Not applicable to me,More than 1000,yes,yes,Yes,yes,Yes,I don't know,Very easy,Maybe,No,No,Same level of comfort for each,Maybe,8.0,7.0,Yes,No,26-42
44,28.0,male,United Kingdom,Possibly,Yes,yes,no,Rarely,100-500,yes,yes,No,yes,I don't know,Yes,Somewhat easy,Yes,No,"Yes, I experienced",Physical health,Maybe,6.0,5.0,No,No,26-42
45,27.0,female,India,No,No,no,no,Not applicable to me,More than 1000,yes,I don't know,No,no,No,I don't know,Difficult,Yes,No,No,Same level of comfort for each,No,6.0,7.0,No,No,26-42
46,34.0,male,United States of America,Yes,Yes,yes,no,Never,500-1000,yes,I don't know,No,no,No,Yes,Difficult,No,No,No,Physical health,No,10.0,7.0,Maybe,No,26-42
47,42.0,male,India,Don't Know,I don't know,no,no,Sometimes,100-500,yes,no,No,no,No,I don't know,Neither easy nor difficult,Yes,"Yes, I experienced",No,Physical health,Maybe,7.0,6.0,No,Maybe,26-42
48,22.0,male,Indonesia,Yes,No,no,no,Sometimes,500-1000,yes,yes,Yes,yes,Yes,No,Somewhat easy,Maybe,Maybe/Not sure,"Yes, I observed",Same level of comfort for each,Maybe,8.0,8.0,Maybe,Maybe,22-25
49,28.0,female,India,Possibly,No,no,no,Sometimes,100-500,yes,no,No,no,No,No,Difficult,No,"Yes, I experienced",No,Physical health,No,4.0,0.0,No,No,26-42
50,36.0,male,United States of America,No,No,no,no,Not applicable to me,26-100,yes,yes,Yes,yes,Yes,Yes,Very easy,Yes,No,"Yes, I observed",Same level of comfort for each,Maybe,8.0,8.0,Yes,No,26-42
51,41.0,male,India,Possibly,No,no,no,Sometimes,More than 1000,no,no,Yes,yes,No,I don't know,Somewhat easy,No,Maybe/Not sure,Maybe/Not sure,Physical health,No,3.0,3.0,No,No,26-42
52,30.0,male,United States of America,Yes,Yes,yes,no,Sometimes,6-25,yes,yes,Yes,no,No,I don't know,Somewhat difficult,Maybe,Maybe/Not sure,Maybe/Not sure,Physical health,Maybe,7.0,4.0,Maybe,No,26-42
53,34.0,male,Australia,Don't Know,I don't know,no,no,Not applicable to me,100-500,no,I don't know,No,yes,Yes,Yes,Somewhat easy,Maybe,No,Maybe/Not sure,Same level of comfort for each,No,9.0,9.0,Maybe,Maybe,26-42
54,23.0,female,Germany,Possibly,No,no,no,Sometimes,More than 1000,no,I don't know,No,yes,No,I don't know,Somewhat easy,Maybe,Maybe/Not sure,Maybe/Not sure,Physical health,No,5.0,3.0,No,Yes,22-25
55,29.0,female,Brazil,Don't Know,No,no,no,Not applicable to me,More than 1000,no,no,No,no,No,I don't know,Somewhat difficult,Maybe,Maybe/Not sure,"Yes, I observed",Mental health,No,3.0,4.0,Maybe,Maybe,26-42
56,58.0,male,United States of America,No,No,yes,no,Never,500-1000,no,yes,Yes,no,Yes,Yes,Somewhat easy,No,No,"Yes, I observed",Physical health,No,6.0,5.0,No,Yes,43-100
57,40.0,male,Netherlands,Don't Know,No,no,no,Not applicable to me,100-500,no,I don't know,No,no,No,I don't know,I don't know,Maybe,Maybe/Not sure,"Yes, I experienced",Physical health,Yes,7.0,5.0,Maybe,No,26-42
58,32.0,male,Chile,Yes,Yes,yes,no,Often,100-500,yes,no,No,no,No,I don't know,Difficult,Maybe,"Yes, I experienced",Maybe/Not sure,Physical health,Yes,7.0,2.0,No,No,26-42
59,30.0,male,Portugal,Possibly,Yes,no,no,Not applicable to me,100-500,yes,I don't know,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,"Yes, I observed",Maybe/Not sure,Physical health,No,7.0,7.0,Maybe,No,26-42
60,33.0,female,United States of America,Yes,Yes,yes,no,Never,500-1000,no,yes,Yes,yes,Yes,I don't know,Somewhat easy,Yes,No,"Yes, I experienced",Same level of comfort for each,No,7.0,7.0,Yes,No,26-42
61,22.0,male,Netherlands,No,No,yes,no,Not applicable to me,26-100,no,I don't know,No,no,Yes,Yes,Somewhat difficult,Yes,Maybe/Not sure,Maybe/Not sure,Mental health,Maybe,4.0,6.0,Yes,No,22-25
62,30.0,female,United States of America,Possibly,No,yes,no,Rarely,More than 1000,yes,yes,No,I don't know,Yes,Yes,Very easy,No,No,No,Physical health,No,10.0,6.0,Maybe,No,26-42
63,34.0,male,South Africa,Yes,Yes,yes,no,Rarely,6-25,yes,no,No,no,No,No,Difficult,Yes,"Yes, I experienced",No,Same level of comfort for each,Yes,0.0,0.0,No,Yes,26-42
64,44.0,male,United States of America,Possibly,I don't know,yes,no,Not applicable to me,6-25,no,yes,No,yes,Yes,I don't know,Neither easy nor difficult,Yes,Maybe/Not sure,"Yes, I experienced",Physical health,No,5.0,5.0,Yes,No,43-100
65,30.0,male,United States of America,Yes,I don't know,yes,no,Rarely,26-100,yes,yes,Yes,no,I don't know,I don't know,Very easy,Maybe,"Yes, I observed","Yes, I experienced",Physical health,Maybe,7.0,5.0,Maybe,No,26-42
66,39.0,male,United States of America,Yes,I don't know,yes,no,Often,100-500,no,yes,Yes,yes,Yes,Yes,Difficult,Maybe,No,No,Physical health,No,7.0,5.0,No,Yes,26-42
67,48.0,male,India,Don't Know,No,no,no,Not applicable to me,500-1000,yes,yes,Yes,no,No,I don't know,Somewhat difficult,Yes,No,Maybe/Not sure,Physical health,No,3.0,3.0,Maybe,No,43-100
68,26.0,male,United States of America,Possibly,Yes,yes,no,Not applicable to me,26-100,no,I don't know,No,no,No,I don't know,Difficult,No,Maybe/Not sure,No,Physical health,No,7.0,4.0,No,Yes,26-42
69,28.0,female,Germany,Possibly,Yes,yes,no,Sometimes,26-100,no,I don't know,Yes,no,Yes,Yes,Somewhat easy,Maybe,No,No,Physical health,No,2.0,5.0,Maybe,No,26-42
70,36.0,male,United States of America,Possibly,I don't know,yes,no,Sometimes,More than 1000,yes,yes,No,I don't know,I don't know,Yes,Somewhat easy,Maybe,Maybe/Not sure,Maybe/Not sure,Physical health,Maybe,6.0,5.0,Yes,No,26-42
71,37.0,male,Canada,No,No,no,no,Not applicable to me,6-25,yes,I don't know,No,no,No,I don't know,Very easy,Maybe,Maybe/Not sure,No,Physical health,Maybe,5.0,0.0,Maybe,Maybe,26-42
72,42.0,male,United States of America,Yes,Yes,yes,no,Often,More than 1000,yes,yes,Yes,no,I don't know,I don't know,Somewhat difficult,Maybe,Maybe/Not sure,No,Physical health,No,6.0,2.0,Maybe,No,26-42
73,31.0,male,Brazil,Don't Know,Yes,yes,no,Not applicable to me,More than 1000,yes,yes,Yes,no,No,I don't know,I don't know,No,"Yes, I observed","Yes, I observed",Physical health,Maybe,5.0,3.0,No,Maybe,26-42
74,22.0,male,Spain,No,I don't know,no,no,Not applicable to me,More than 1000,no,I don't know,No,no,I don't know,I don't know,Somewhat easy,No,No,No,Same level of comfort for each,No,7.0,5.0,Yes,No,22-25
75,40.0,male,Spain,Yes,Yes,yes,no,Rarely,100-500,yes,I don't know,No,no,No,No,Very easy,Maybe,No,No,Same level of comfort for each,Maybe,8.0,5.0,No,No,26-42
76,50.0,male,United States of America,No,No,no,no,Not applicable to me,More than 1000,yes,yes,Yes,yes,Yes,Yes,Neither easy nor difficult,No,No,Maybe/Not sure,Physical health,No,10.0,9.0,No,No,43-100
77,31.0,female,India,No,No,no,no,Not applicable to me,More than 1000,yes,I don't know,No,yes,I don't know,I don't know,Difficult,No,No,Maybe/Not sure,Physical health,No,8.0,6.0,Maybe,No,26-42
78,29.0,female,Canada,Yes,Yes,yes,no,Rarely,More than 1000,yes,yes,Yes,yes,Yes,Yes,Somewhat easy,Yes,Maybe/Not sure,"Yes, I experienced",Physical health,No,8.0,7.0,Yes,No,26-42
79,40.0,male,India,Possibly,No,no,no,Sometimes,100-500,no,no,No,no,No,I don't know,Somewhat difficult,No,No,No,Physical health,No,7.0,5.0,No,No,26-42
80,33.0,female,Canada,Possibly,No,no,no,Sometimes,More than 1000,no,no,No,no,No,I don't know,Somewhat difficult,No,Maybe/Not sure,Maybe/Not sure,Physical health,Maybe,7.0,3.0,Maybe,No,26-42
81,29.0,male,Sweden,No,No,no,no,Not applicable to me,26-100,yes,I don't know,No,I don't know,No,I don't know,Somewhat easy,Maybe,"Yes, I observed",No,Physical health,No,5.0,5.0,No,Yes,26-42
82,27.0,female,United States of America,No,No,no,no,Not applicable to me,More than 1000,yes,I don't know,No,yes,Yes,I don't know,Very easy,Maybe,No,Maybe/Not sure,Physical health,No,6.0,6.0,Maybe,No,26-42
83,36.0,male,United States of America,Yes,Yes,yes,no,Rarely,More than 1000,yes,yes,Yes,yes,I don't know,Yes,Somewhat easy,Maybe,"Yes, I observed","Yes, I experienced",Same level of comfort for each,Maybe,8.0,9.0,Maybe,Yes,26-42
84,33.0,female,United States of America,Possibly,No,no,no,Not applicable to me,More than 1000,no,yes,Yes,yes,Yes,I don't know,I don't know,Maybe,Maybe/Not sure,Maybe/Not sure,Physical health,Maybe,5.0,4.0,Maybe,No,26-42
85,40.0,male,Sweden,Possibly,Yes,no,no,Rarely,6-25,yes,I don't know,No,no,No,I don't know,Somewhat easy,No,"Yes, I observed",No,Physical health,No,8.0,2.0,No,No,26-42
86,42.0,male,Canada,No,Yes,no,no,Not applicable to me,26-100,yes,yes,Yes,yes,Yes,Yes,I don't know,Yes,Maybe/Not sure,Maybe/Not sure,Same level of comfort for each,No,7.0,7.0,Yes,No,26-42
87,31.0,male,United Kingdom,Possibly,Yes,yes,no,Often,500-1000,yes,I don't know,No,no,I don't know,I don't know,I don't know,Maybe,No,No,Physical health,Maybe,4.0,4.0,Maybe,No,26-42
